[2021-06-24 00:08:16,583] [LoggerProcessor] Initializare logger. Se asteapta mesaje...
[2021-06-24 00:08:20,590] [BiddingProcessor] Astept ofertele procesate de MessageProcessor...
[2021-06-24 00:08:21,593] [MessageProcessor] Astept notificare de la toate entitatile Auctioneer pentru incheierea licitatiei...
[2021-06-24 00:08:22,597] [Auctioneer] Astept oferte pentru licitatie...
[2021-06-24 00:08:25,608] [ID:c95b25ac-7ef7-4dbc-8fbf-4bb817d14965]Trimit licitatia mea: 2117...
[2021-06-24 00:08:25,610] [ID:c95b25ac-7ef7-4dbc-8fbf-4bb817d14965] Astept rezultatul licitatiei...
[2021-06-24 00:08:25,613] [Auctioneeer] c95b25ac-7ef7-4dbc-8fbf-4bb817d14965 a licitat 2117
[2021-06-24 00:08:25,615] [Auctioneeer] c95b25ac-7ef7-4dbc-8fbf-4bb817d14965 a licitat 2117
[2021-06-24 00:08:39,656] reading try failed
[2021-06-24 00:08:39,662] [Auctioneer] Licitatia s-a incheiat!
[2021-06-24 00:08:40,668] [MessageProcessor] Licitatie incheiata. Procesez mesajele cu oferte...
[2021-06-24 00:08:40,673] [MessageProcessor] c95b25ac-7ef7-4dbc-8fbf-4bb817d14965 a licitat 2117.
[2021-06-24 00:09:03,735] reading try failed
[2021-06-24 00:09:04,740] [BiddingProcessor] Procesez ofertele...
[2021-06-24 00:09:04,741] [BiddingProcessor] Castigatorul este:
[2021-06-24 00:09:04,743] 	2117 - pret licitat: c95b25ac-7ef7-4dbc-8fbf-4bb817d14965
[2021-06-24 00:09:04,744] winner:c95b25ac-7ef7-4dbc-8fbf-4bb817d14965
[2021-06-24 00:09:04,745] [ID:c95b25ac-7ef7-4dbc-8fbf-4bb817d14965] Am castigat!!!
[2021-06-24 00:09:04,746] [LoggerProcessor] Incheierea activitatii.
